"","Month","Year","Autonomous.Community","Relation","Victim.Age","Agressor.Age","Previous.Abuse.Report","Living.Together"
"865","November",2016,"Comunidad de Madrid","Partner","21-30 years","21-30 years","No","No"
"866","December",2016,"Cataluña","In separation process","51-64 years","65-74 years","No","Yes"
"867","December",2016,"Cataluña","Partner","41-50 years","41-50 years","No","Yes"
"868","December",2016,"Galicia","Ex-partner","21-30 years","31-40 years","No","Yes"
"869","December",2016,"Galicia","In separation process","21-30 years","31-40 years","No","No"
"870","January",2017,"Andalucía","Ex-partner","31-40 years","21-30 years","No","No"
"871","January",2017,"Castilla - La Mancha","Partner","31-40 years","41-50 years","Yes","Yes"
"872","January",2017,"Galicia","Partner","51-64 years","51-64 years","No","Yes"
"873","January",2017,"Comunidad de Madrid","Ex-partner","31-40 years","18-20 years","Yes","No"
"874","January",2017,"Comunidad de Madrid","In separation process","21-30 years","21-30 years","No","Yes"
"875","January",2017,"Comunidad Foral de Navarra","Partner","41-50 years","41-50 years","No","Yes"
"876","February",2017,"Castilla - La Mancha","Partner","41-50 years","51-64 years","No","Unknown"
"877","February",2017,"Castilla - La Mancha","Partner","21-30 years","31-40 years","No","Yes"
"878","February",2017,"Castilla - La Mancha","Partner","31-40 years","41-50 years","No","Yes"
"879","February",2017,"Cataluña","Partner","75-84 years","75-84 years","No","Yes"
"880","February",2017,"Cataluña","In separation process","31-40 years","51-64 years","Yes","No"
"881","February",2017,"Comunitat Valenciana","Partner","75-84 years",">85 years","No","Yes"
"882","February",2017,"Comunitat Valenciana","Ex-partner","41-50 years","31-40 years","Yes","No"
"883","February",2017,"Comunitat Valenciana","Partner","41-50 years","51-64 years","No","No"
"884","February",2017,"Extremadura","Partner",">85 years",">85 years","No","Yes"
"885","March",2017,"Canarias","Partner","21-30 years","31-40 years","No","Yes"
"886","March",2017,"Castilla - La Mancha","Partner","41-50 years","41-50 years","No","Yes"
"887","March",2017,"Comunidad de Madrid","Partner","31-40 years","31-40 years","No","Yes"
"888","April",2017,"Andalucía","Ex-partner","21-30 years","21-30 years","No","No"
"889","April",2017,"Andalucía","In separation process","31-40 years","31-40 years","No","Yes"
"890","April",2017,"Canarias","In separation process","41-50 years","31-40 years","No","No"
"891","April",2017,"Cataluña","Partner","41-50 years","31-40 years","No","Yes"
"892","May",2017,"Comunidad de Madrid","Partner","31-40 years","41-50 years","No","Yes"
"893","May",2017,"Comunidad de Madrid","Partner","41-50 years","31-40 years","No","Yes"
"894","May",2017,"Comunidad de Madrid","Partner","51-64 years","51-64 years","No","Yes"
"895","May",2017,"Comunidad de Madrid","In separation process","21-30 years","31-40 years","Yes","No"
"896","May",2017,"Región de Murcia","Partner","31-40 years","41-50 years","No","No"
"897","June",2017,"Andalucía","Partner","51-64 years","41-50 years","No","Yes"
"898","June",2017,"Andalucía","Ex-partner","31-40 years","51-64 years","Yes","No"
"899","June",2017,"Cataluña","In separation process","21-30 years","41-50 years","No","No"
"900","July",2017,"Andalucía","Partner","65-74 years","65-74 years","No","Yes"
